Name,Class,med,sigma,M3,M4,dnfft_1,dnfft_2,dnfft_3,dnpfft_1,dnpfft_2,dnpfft_3,dipfft_1,dipfft_2,dipfft_3,dntimp_1,dntimp_2,dntimp_3,hhcor_1,hhcor_2,hhcor_3,hurst_1,hurst_2,hurst_3,sum_q,ttt
noise_brown,noise,1.74570603998011e-17,0.520555094,0.985003491,1.374444723,0.174208989,0.066694613,1.174208989,0.174209419,0.066699316,1.174209419,1.208158028,0.210696876,1.708158028,0.929372448,0.334122251,1.929372448,0.002791192,0.063099858,1.997208808,0.087112962,0.060023002,1.912887038,0.003939545,0.827697987
noise_gray,noise,4.09107336433898e-18,0.36136503,0.83485992,1.308406148,0.366093888,0.039363075,1.366093888,0.366073596,0.039373301,1.366073596,1.291181335,0.149816954,1.791181335,0.987725215,0.307939057,1.987725215,-0.001167183,0.015033764,2.001167183,0.106894308,0.049980168,1.893105692,0.005693908,0.902959036
noise_pink,noise,3.63330703484618e-19,0.148206743,0.857373807,1.375602779,0.55179164,0.092733614,1.55179164,0.551743736,0.092716122,1.551743736,1.521860625,0.132033848,2.021860625,1.089037694,0.194551723,2.089037694,-0.000131565,0.005858505,2.000131565,0.13294214,0.038725811,1.86705786,0.007759358,0.939751797
noise_violet,noise,-1.12E-18,0.045039977,0.584006679,1.654549119,0.536674473,0.089244715,1.536674473,0.537043818,0.089298581,1.537043818,1.358071882,0.111023526,1.858071882,0.864988218,0.16429169,1.864988218,0.000271118,0.00694596,1.999728882,0.239376129,0.052850359,1.760623871,0.007207432,0.937579369
noise_white,noise,-2.67E-18,0.03199871,1.024386476,2.264431996,0.531600113,0.081021277,1.531600113,0.530516424,0.080722163,1.530516424,1.236017156,0.092994872,1.736017156,0.762485614,0.135611946,1.762485614,0.000757841,0.019115314,1.999242159,0.325904681,0.061349008,1.674095319,0.007942085,0.935625326
