Name,Class,med,sigma,M3,M4,dnfft_1,dnfft_2,dnfft_3,dnpfft_1,dnpfft_2,dnpfft_3,dipfft_1,dipfft_2,dipfft_3,dntimp_1,dntimp_2,dntimp_3,hhcor_1,hhcor_2,hhcor_3,hurst_1,hurst_2,hurst_3,sum_q,ttt
analog-crt-static,noise,-1.20E-17,0.363111575,1.520091545,2.111789898,0.493208047,0.080982077,1.493208047,0.49278591,0.08085092,1.49278591,1.304045625,0.098108964,1.804045625,0.859815455,0.14890657,1.859815455,0.118043597,0.056365253,1.881956403,0.347618421,0.069546216,1.652381579,0.00524839,0.861740772
blender,noise,-7.34E-18,0.186040188,0.897164678,1.377756804,0.441693701,0.042362502,1.441693701,0.441732781,0.042363437,1.441732781,1.366770544,0.15421213,1.866770544,1.051617413,0.293269818,2.051617413,0.001225973,0.010908506,1.998774027,0.131510221,0.040466323,1.868489779,0.006562789,0.914742527
cable-noise,noise,-7.73E-18,0.313943271,1.210927781,1.503339403,0.345445404,0.098843063,1.345445404,0.345505105,0.098939371,1.345505105,1.093551123,0.156484381,1.593551123,0.738004516,0.160247586,1.738004516,0.11231233,0.05359309,1.88768767,0.230732968,0.084730754,1.769267032,0.003766675,0.847478234
no-signal,noise,1.27933088570123e-19,0.072063556,2.475267584,4.470072726,0.24938536,0.058776178,1.24938536,0.248972112,0.058558235,1.248972112,1.17370508,0.17026533,1.67370508,0.80779236,0.240274823,1.80779236,-0.038291085,0.03924429,2.038291085,0.575371947,0.085350937,1.424628053,0.008712176,0.901930805
ocean,noise,-1.81E-17,0.185889781,0.921768264,1.413094889,0.514174594,0.093246704,1.514174594,0.513925231,0.093164871,1.513925231,1.513565175,0.140295954,2.013565175,1.126966707,0.220926857,2.126966707,0.044624057,0.034522383,1.955375943,0.154172252,0.037986079,1.845827748,0.006831766,0.929898379
saturn,noise,-1.18E-17,0.349328661,0.992069531,1.459168907,0.575439706,0.080115526,1.575439706,0.575445337,0.080059798,1.575445337,1.180483126,0.126386406,1.680483126,0.849594933,0.211792408,1.849594933,0.005510483,0.02748982,1.994489517,0.159451268,0.053032282,1.840548732,0.005456911,0.908449748
steps-on-snow,noise,1.95519085269881e-16,0.684596723,1.468900167,2.020545693,0.222664411,0.06235674,1.222664411,0.222558499,0.062438009,1.222558499,1.196575596,0.175740063,1.696575596,0.823010969,0.273293192,1.823010969,0.022288923,0.03199066,1.977711077,0.302376434,0.071484228,1.697623566,0.006692821,0.839881615
