Name,Class,med,sigma,M3,M4,dnfft_1,dnfft_2,dnfft_3,dnpfft_1,dnpfft_2,dnpfft_3,dipfft_1,dipfft_2,dipfft_3,dntimp_1,dntimp_2,dntimp_3,hhcor_1,hhcor_2,hhcor_3,hurst_1,hurst_2,hurst_3,sum_q,ttt
psalm,voice,1.57259765449941e-17,0.28987796,0.549129709,1.275633573,1.25547524,0.227131561,2.25547524,1.254619251,0.22596792,2.254619251,0.972452651,0.09373165,1.472452651,0.626063454,0.212353851,1.626063454,0.073028459,0.089204116,1.926971541,0.26718664,0.060444382,1.73281336,0.00301892,0.850475904
arabic,voice,-4.41E-19,0.46787987,0.054053325,1.150865263,0.443436159,0.142567306,1.443436159,0.443440626,0.142568805,1.443440626,0.860068108,0.163550514,1.360068108,0.604068867,0.242874315,1.604068867,0.036655925,0.062737484,1.963344075,0.14418704,0.073806702,1.85581296,0.003095252,0.830603678
indian,voice,-2.20E-16,0.468325204,0.767294573,1.290501255,0.516376836,0.176096863,1.516376836,0.516366137,0.176096061,1.516366137,0.872970731,0.166107172,1.372970731,0.565068839,0.14957274,1.565068839,0.10826908,0.126437806,1.89173092,0.239452948,0.081975306,1.760547052,0.002195976,0.808603944
navajo,voice,3.86780468388274e-17,0.338012746,0.926527439,1.338962776,0.394402739,0.099687467,1.394402739,0.394299915,0.099671691,1.394299915,1.11251303,0.130163506,1.61251303,0.770665208,0.291124632,1.770665208,0.037756393,0.05392006,1.962243607,0.142623335,0.061670083,1.857376665,0.003939919,0.865414056
